country,country_code,year,spei_12,drought,electricity_generation,hydro_electricity,wind_electricity,solar_electricity,biofuel_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,fossil_electricity,net_elec_imports,net_elec_imports_share_demand,hydro_share,wind_share,solar_share,biofuel_share,nuclear_share,coal_share,gas_share,oil_share,fossil_share
Brazil,BRA,2023,-2.3095,True,708.12,426.0,95.8,50.63,57.76,14.5,13.31,38.59,11.53,63.43,15.11,2.089,0.6015929503473988,0.13528780432695023,0.07149918092978591,0.08156809580297124,0.020476755352200192,0.018796249223295487,0.05449641303733831,0.016282550980059877,0.08957521324069366
Brazil,BRA,2022,-0.8645,False,677.16,427.11,81.63,30.13,55.02,14.56,14.4,42.11,12.2,68.71,12.91,1.871,0.6307371965266703,0.12054758107389686,0.04449465414377695,0.08125110756689705,0.021501565361214486,0.02126528442317916,0.062186189379171836,0.018016421525193456,0.10146789532754445
Brazil,BRA,2021,-0.0102,False,656.4,362.82,72.29,16.75,56.01,14.7,24.24,86.96,22.63,133.83,23.1,3.4,0.5527422303473492,0.11013101767215114,0.02551797684338818,0.0853290676416819,0.022394881170018283,0.03692870201096892,0.13248019500304692,0.03447592931139549,0.20388482632541136
Brazil,BRA,2020,-0.96,False,628.76,396.38,57.05,10.75,58.74,14.05,17.75,59.48,14.56,91.79,24.72,3.783,0.6304154208282969,0.09073414339334562,0.017097143584197467,0.09342197340797762,0.022345569056555763,0.02823016731344233,0.09459889305935491,0.023156689356829317,0.14598574972962658
Brazil,BRA,2019,-1.6718,True,633.33,397.88,55.99,6.65,54.92,16.13,21.68,65.96,14.12,101.76,24.96,3.792,0.6282348854467654,0.08840572845120237,0.010500055263448755,0.08671624587497828,0.025468555097658406,0.03423175911452165,0.10414791656798192,0.02229485418344307,0.16067452986594666
Brazil,BRA,2018,-0.0945,False,601.39,388.97,48.48,3.46,54.38,15.67,20.8,54.62,15.01,90.43,34.98,5.497,0.646784948203329,0.08061324598014599,0.005753338100068175,0.09042385141089809,0.02605630289828564,0.0345865411796006,0.09082292688604732,0.024958845341625235,0.15036831340727316
Brazil,BRA,2017,-1.8872,True,589.32,370.91,42.37,0.83,52.91,15.74,22.85,65.59,18.12,106.56,36.35,5.81,0.6293864114572728,0.07189642299599537,0.0014084029050431004,0.08978144301907282,0.026708749066720966,0.03877350166293355,0.11129776691780356,0.030747301975157806,0.18081857055589493
Brazil,BRA,2016,-2.2713,True,578.89,380.91,33.49,0.09,51.33,15.86,25.67,56.48,15.06,97.21,40.79,6.582,0.6580006564286826,0.05785209625317418,0.0001554699511133376,0.0886696954516402,0.0273972602739726,0.0443434849453264,0.09756603154312564,0.02601530515296516,0.1679248216414172
Brazil,BRA,2015,-2.564,True,581.22,359.74,21.63,0.06,49.88,14.73,26.98,79.49,28.71,135.18,34.42,5.591,0.6189394721447988,0.037214823990915656,0.00010323113451016826,0.08581948315611988,0.02534324352224631,0.046419600151405664,0.1367640480368879,0.049396097863115516,0.2325797460514091
Brazil,BRA,2014,-1.0933,True,590.55,373.44,12.21,0.02,47.08,15.38,26.9,81.07,34.45,142.42,33.78,5.411,0.6323596647193295,0.020675641351282706,3.386673440013547e-05,0.0797222927779189,0.026043518753704177,0.0455507577681822,0.13727880789094912,0.058335450004233354,0.24116501566336465
Brazil,BRA,2013,0.2814,False,570.83,390.99,6.58,0.0,40.97,15.45,21.97,69.0,25.87,116.84,40.33,6.599,0.6849499851094021,0.01152707461065466,0.0,0.07177268188427377,0.027065851479424693,0.03848781598724663,0.12087661825762486,0.04531997267137326,0.20468440691624476
Brazil,BRA,2012,-2.0082,True,552.5,415.34,5.05,0.0,35.77,16.04,14.47,46.76,19.07,80.3,40.26,6.792,0.7517466063348416,0.009140271493212669,0.0,0.06474208144796381,0.029031674208144793,0.02619004524886878,0.08463348416289593,0.0345158371040724,0.1453393665158371
