country,iso_code,height_m,wind_speed_100m_mean_ms,wind_speed_100m_median_ms,wind_speed_100m_std_ms,wind_speed_100m_p10_ms,wind_speed_100m_p90_ms,wind_speed_100m_min_ms,wind_speed_100m_max_ms,wind_speed_valid_cells,power_density_100m_mean_wm2,power_density_100m_median_wm2,power_density_100m_std_wm2,power_density_100m_p10_wm2,power_density_100m_p90_wm2,power_density_100m_min_wm2,power_density_100m_max_wm2,power_density_valid_cells,generation_year,wind_generation_twh,capacity_year,wind_capacity_gw,generation_per_gw,capacity_factor_pct
Ireland,IRL,100,10.345,10.639,0.854,8.825,11.1,5.59,18.809,10634733,1168.017,1251.213,252.137,712.111,1407.282,171.066,7021.459,10634733,2025,11.76,2025,5.128241,2.2931839591782053,26.177899077376775
United Kingdom,GBR,100,9.804,10.104,1.17,7.857,11.099,3.772,19.286,22775169,1053.735,1114.827,330.832,515.105,1434.858,94.805,8544.592,22775169,2025,85.84,2025,33.08753,2.5943308551590283,29.615649031495757
Chile,CHL,100,9.002,8.606,2.994,5.416,13.634,0.425,57.372,61221317,929.614,620.063,932.343,173.222,2241.801,0.293,185924.109,61221317,2025,11.58,2025,5.8827796,1.9684572238606388,22.470972875121447
Norway,NOR,100,8.843,9.167,1.373,6.651,10.153,0.596,21.725,42320357,872.297,880.648,331.832,402.296,1224.581,1.05,22597.379,42320357,2025,13.56,2025,5.158,2.628925940286933,30.010570094599693
Denmark,DNK,100,9.326,9.527,0.839,8.078,10.27,6.208,10.687,3499671,812.066,841.224,226.086,490.991,1098.389,224.621,1215.052,3499671,2025,19.21,2025,7.546501,2.5455505803285523,29.05879657909306
Netherlands,NLD,100,8.926,9.466,1.068,7.307,9.935,5.484,10.088,2203227,753.276,872.667,265.38,366.367,1021.532,156.428,1085.439,2203227,2025,33.7,2025,11.7825,2.860173986844897,32.650387977681476
Argentina,ARG,100,8.477,8.186,2.531,5.53,11.957,0.236,57.372,65127614,744.762,584.931,715.61,169.121,1579.663,0.051,185924.109,65127614,2025,18.62,2025,4.49652,4.140980135749424,47.27146273686557
Canada,CAN,100,7.391,7.388,1.665,5.381,9.518,0.199,26.868,416379951,528.42,457.57,345.802,193.494,986.603,0.039,30792.992,416379951,2025,51.48,2025,18.153,2.835894893406049,32.373229376781374
France,FRA,100,7.073,6.947,1.622,5.096,9.241,0.263,19.424,17019683,472.666,367.459,286.786,174.707,853.911,0.213,12011.371,17019683,2025,46.49,2025,25.654846,1.8121332710397093,20.68645286575011
Spain,ESP,100,6.812,6.642,1.753,4.625,9.247,0.376,16.882,18050948,470.501,397.814,296.796,150.6,856.129,0.343,12393.112,18050948,2025,58.76,2025,33.30057,1.764534360823253,20.14308631076773
Portugal,PRT,100,7.61,8.117,1.23,5.567,8.664,1.77,11.836,6136601,467.14,501.399,163.295,194.105,655.13,13.138,2279.031,6136601,2025,13.67,2025,5.605473,2.438688046485997,27.838904640251105
South Africa,ZAF,100,7.259,7.501,1.755,4.86,9.189,0.456,21.946,34932846,458.458,426.939,276.168,125.863,793.886,0.121,11187.068,34932846,2025,11.32,2025,4.326,2.6167360147942675,29.871415693998486
Sweden,SWE,100,7.04,6.604,1.381,5.561,9.258,2.774,18.599,16816789,409.214,289.18,262.092,187.354,805.345,35.578,11486.832,16816789,2025,38.9,2025,17.3806,2.238127567517807,25.54940145568273
United States,USA,100,6.688,6.671,1.673,4.63,8.879,0.181,26.521,219280837,400.707,322.832,359.743,122.458,763.736,0.03,42660.879,219280837,2025,464.39,2025,158.3725,2.932264124137713,33.47333475043052
