,country,year,month,total_generation_cv_mean_extreme,wind_generation_cv_mean_extreme,solar_generation_cv_mean_extreme,water_generation_cv_mean_extreme,traiding_share_mean_extreme,renew_share,solar_share,wind_share,water_share,days_extreme,total_generation_cv_mean_normal,wind_generation_cv_mean_normal,solar_generation_cv_mean_normal,water_generation_cv_mean_normal,traiding_share_mean_normal,renew_share_mean_normal,solar_share_mean_normal,wind_share_mean_normal,water_share_mean_normal,days_normal,event_type,solar_generation_cv_mean_delta,wind_generation_cv_mean_delta,water_generation_cv_mean_delta,total_generation_cv_mean_delta,traiding_share_delta
66,FI,2021,7,7.485149393805537,3.2282140885157133,0.0,8.601759129944975,4.2080609004036,51.43256464011182,0.13976240391334735,35.77917540181692,0.0,8,5.624681196532963,3.6237323973414455,0.0,6.236569748484504,5.673161148389107,51.43256464011182,0.13976240391334735,35.77917540181692,0.0,23,high_heat,0.0,-0.39551830882573213,2.365189381460471,1.8604681972725743,-1.4651002479855064
67,FI,2021,10,6.614098634521906,3.263404829807068,0.0,5.154201964677556,4.984280044083844,51.43256464011182,0.13976240391334735,35.77917540181692,0.0,5,6.762403028169913,4.335011756615392,0.0,3.9356583895119033,4.15447733971783,51.43256464011183,0.13976240391334735,35.77917540181692,0.0,26,high_heat,0.0,-1.0716069268083244,1.2185435751656528,-0.14830439364800618,0.8298027043660143
68,FI,2021,11,6.503235429507306,4.171196157317814,0.0,3.1376309705329524,4.862530133676293,51.43256464011182,0.13976240391334735,35.77917540181692,0.0,4,7.160911098341287,4.2807985121096825,0.0,4.150633723490895,4.381099072526031,51.43256464011183,0.13976240391334735,35.77917540181692,0.0,26,high_heat,0.0,-0.10960235479186853,-1.0130027529579424,-0.6576756688339804,0.48143106115026146
69,FI,2022,3,8.165504243808027,7.989191215380714,0.0,4.994550701977947,3.8332837557668724,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,5,6.261883840206843,5.741560535984652,0.0,5.048906739637048,3.155908551275898,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,26,high_heat,0.0,2.247630679396062,-0.05435603765910102,1.9036204036011837,0.6773752044909744
70,FI,2022,4,4.292607828843775,2.596843151964075,0.0,4.3974259923645,3.1527678718095102,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,3,5.4387223584502715,5.0167081843588015,0.0,4.468823279214725,5.528850825012918,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,27,high_heat,0.0,-2.4198650323947266,-0.07139728685022462,-1.1461145296064963,-2.3760829532034076
71,FI,2022,6,6.156456747795226,7.669341119979919,0.0,8.432294020032232,6.128142410968585,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,6,6.503926092245501,5.827776104996148,0.0,5.336914356870853,5.493682187924808,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,24,high_heat,0.0,1.8415650149837708,3.0953796631613795,-0.3474693444502748,0.634460223043777
72,FI,2022,7,6.217944291322302,5.872355805610633,0.0,7.454063207336162,4.057581534254757,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,2,6.292007145563471,4.784658838034608,0.0,6.9721420793935645,4.534302067339792,50.87310826542492,0.1746216530849825,38.53317811408615,0.0,29,high_heat,0.0,1.0876969675760249,0.48192112794259767,-0.07406285424116898,-0.47672053308503504
73,FI,2022,8,5.728610093066281,8.932979306336659,0.0,6.5291258835582875,5.484909226588492,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,6,6.746052825866901,6.60976681753482,0.0,6.580695670218107,5.433762455733587,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,25,high_heat,0.0,2.323212488801839,-0.051569786659819705,-1.0174427328006201,0.05114677085490538
74,FI,2023,6,6.300274084631123,6.1491517413658885,3.3425821388247363,5.5582731681476645,6.819956491046752,57.352143244709715,0.2712967986977754,44.60119370591428,0.0,3,6.134855715795386,6.895579097712099,2.844434980230806,4.408893225025521,7.566668868863149,57.35214324470972,0.2712967986977754,44.60119370591428,0.0,27,high_heat,0.49814715859393033,-0.7464273563462109,1.1493799431221436,0.1654183688357378,-0.7467123778163973
75,FI,2024,5,5.800646168131436,6.286254719793884,4.187906809266216,2.961957447599378,8.321878265494984,63.03930968360498,7.238734419942474,44.72674976030681,0.0,6,7.486057464056866,8.560118335860304,4.057196429056695,2.680762981004067,8.312511980444667,63.03930968360499,7.238734419942474,44.72674976030681,0.0,25,high_heat,0.13071038020952042,-2.2738636160664205,0.281194466595311,-1.6854112959254293,0.009366285050317558
76,FI,2024,6,5.455857960778069,3.0893673586044,4.367462709150341,2.0521343055054526,2.7589829141983384,63.03930968360498,7.238734419942474,44.72674976030681,0.0,1,4.7737704681764,5.035217548516965,3.7568463634766407,2.907538569921332,3.9559406542031317,63.03930968360499,7.238734419942474,44.72674976030681,0.0,29,high_heat,0.6106163456737002,-1.9458501899125644,-0.8554042644158795,0.6820874926016689,-1.1969577400047933
77,FI,2024,8,6.477195249572691,5.889362939665188,3.811624861032351,4.186509054409418,7.5018319097791775,63.03930968360498,7.238734419942474,44.72674976030681,0.0,3,6.055374924008193,7.118714063986691,3.1992857304992093,2.92372883135955,8.218268419725051,63.03930968360498,7.238734419942474,44.72674976030681,0.0,28,high_heat,0.6123391305331416,-1.2293511243215036,1.2627802230498681,0.42182032556449833,-0.7164365099458738
78,FI,2024,9,6.7819867196435215,9.423363894967531,2.7301448417658625,5.001393955694748,7.867337336193249,63.03930968360498,7.238734419942473,44.72674976030681,0.0,10,6.802693445014514,9.332201719781413,1.9937049609121424,4.439446629954406,6.864631001721636,63.03930968360498,7.238734419942473,44.72674976030681,0.0,20,high_heat,0.73643988085372,0.09116217518611869,0.5619473257403422,-0.020706725370992274,1.002706334471613
79,PL,2019,4,8.416279599627428,3.352047376791244,0.0,1.0425569992422823,3.6610005805903145,29.450800915331815,7.940503432494281,15.034324942791763,4.462242562929062,3,8.359734492859603,3.002441507833742,0.0,1.1649178848141217,3.797155530182346,29.450800915331815,7.940503432494281,15.034324942791763,4.462242562929062,27,high_heat,0.0,0.34960586895750234,-0.12236088557183944,0.05654510676782465,-0.13615494959203156
