,year,month,day,country,temperature_daily_mean,shortwave_radiation_daily_mean,windspeed_daily_mean,soil_moisture_daily_mean,price_mean,price_std,price_min,price_max
0,2019,1,1,CZ,5.654545454545455,1.0881818181818181,20.481818181818184,0.2761818181818182,11.240416666666667,8.363129474153158,-0.99,23.27
1,2019,1,1,DE,6.691489361702128,1.5285106382978724,23.857446808510637,0.32453191489361705,-6.8758333333333335,10.78663944793327,-33.57,10.07
2,2019,1,1,FI,-0.3188405797101449,0.08507246376811595,19.366666666666667,0.3884927536231884,21.803749999999997,11.220193291561422,4.04,39.16
3,2019,1,1,PL,5.8549999999999995,0.8154999999999999,26.0075,0.275325,13.624470140879515,8.916096721916308,1.3786209141209838,30.07857906728042
4,2019,1,2,CZ,1.2727272727272727,2.6636363636363636,25.645454545454548,0.2779090909090909,39.79541666666667,23.103429254054504,-7.85,61.28
5,2019,1,2,DE,3.3787234042553194,3.2038297872340427,20.825531914893617,0.32561702127659575,29.104166666666668,40.08391371118591,-48.93,62.11
6,2019,1,2,FI,-4.339130434782608,0.27797101449275363,22.831884057971017,0.38818840579710145,44.31791666666667,15.982251291372553,4.35,55.58
7,2019,1,2,PL,2.37,1.6797499999999999,26.9675,0.27805,40.30075127767723,20.08055201690884,1.1660925425937994,55.57908947025416
8,2019,1,3,CZ,-1.6090909090909091,2.1763636363636363,19.990909090909092,0.2799090909090909,59.27041666666667,10.72261627676942,42.05,73.42
9,2019,1,3,DE,1.7617021276595743,2.6163829787234043,11.73404255319149,0.32678723404255317,58.04208333333333,9.148248099887839,43.88,69.55
10,2019,1,3,FI,-6.371014492753623,0.4442028985507246,15.095652173913042,0.38769565217391305,57.19916666666666,6.917713819807351,48.31,69.55
11,2019,1,3,PL,-0.6375,2.78425,21.1125,0.2805,55.081540853325414,10.480453609373757,35.481093659104125,69.76614310645724
12,2019,1,4,CZ,0.22727272727272732,1.6645454545454543,14.509090909090908,0.2813636363636363,52.39625,10.790886981514824,28.1,67.53
13,2019,1,4,DE,3.6340425531914895,1.2302127659574469,15.408510638297873,0.3273617021276596,48.91708333333333,7.091700280068162,26.9,55.78
14,2019,1,4,FI,-3.391304347826087,0.1746376811594203,11.501449275362319,0.3872463768115942,54.53583333333333,5.265810905525721,47.05,60.67
15,2019,1,4,PL,0.4950000000000001,1.42675,15.529999999999998,0.2823,55.98515181848515,6.298604168028388,47.23327979141933,62.81863258607445
16,2019,1,5,CZ,3.5545454545454547,0.9236363636363637,18.8,0.28236363636363637,44.12083333333334,12.698104588674937,23.48,59.7
17,2019,1,5,DE,5.587234042553192,0.9353191489361702,18.378723404255318,0.3279148936170213,43.15541666666667,14.02236628891785,18.37,61.64
18,2019,1,5,FI,-4.76231884057971,0.2659420289855073,8.652173913043478,0.38691304347826083,52.29583333333333,4.713908114308649,47.0,62.87
19,2019,1,5,PL,2.6975000000000002,1.446,18.6625,0.28365,52.191629614110234,5.144397599583961,44.162767418581375,63.06539097236772
20,2019,1,6,CZ,1.3636363636363635,1.6681818181818182,15.372727272727273,0.28363636363636363,52.30916666666667,8.027152246494758,40.5,67.0
21,2019,1,6,DE,4.259574468085106,1.2314893617021276,11.5,0.3290212765957447,54.367916666666666,6.855470033780179,44.23,67.37
22,2019,1,6,FI,0.3536231884057971,0.183768115942029,12.884057971014492,0.38660869565217393,51.09041666666667,1.9902686713250495,47.82,55.25
23,2019,1,6,PL,-1.04,1.8625,13.344999999999999,0.285025,50.04743279551135,6.2950532527284,41.53921363223689,62.33675536001117
24,2019,1,7,CZ,1.0909090909090908,1.7354545454545454,8.4,0.2851818181818182,61.33083333333334,12.55919061247896,40.7,75.45
25,2019,1,7,DE,4.948936170212765,1.0855319148936171,14.404255319148936,0.3302765957446808,50.64208333333334,18.78845297080715,1.84,74.93
26,2019,1,7,FI,0.8985507246376812,0.34739130434782606,13.979710144927537,0.38608695652173913,51.918749999999996,3.4998041094249563,46.75,57.94
27,2019,1,7,PL,-1.655,2.4829999999999997,10.995000000000001,0.286325,60.8547149412272,11.25515519434862,44.22715131808152,76.06040831546565
28,2019,1,8,CZ,3.290909090909091,2.2827272727272727,22.172727272727272,0.28654545454545455,55.88375,12.016746580067554,31.01,69.0
