,time,country,temperature_2m_max,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_mean,soil_moisture_28_to_100cm_mean,date,price_mean,price_std,price_min,price_max,price_range,month,year
0,2019-01-01 00:00:00+00:00,CZ,5.654545454545455,2.9454545454545453,1.0881818181818181,20.481818181818184,0.2761818181818182,2019-01-01,11.240416666666667,8.363129474153158,-0.99,23.27,24.259999999999998,1,2019
1,2019-01-01 00:00:00+00:00,DE,6.691489361702128,2.470212765957447,1.5285106382978724,23.857446808510637,0.32453191489361705,2019-01-01,-6.8758333333333335,10.78663944793327,-33.57,10.07,43.64,1,2019
2,2019-01-01 00:00:00+00:00,FI,-0.3188405797101449,7.679710144927536,0.08507246376811595,19.366666666666667,0.3884927536231884,2019-01-01,21.803749999999997,11.220193291561422,4.04,39.16,35.12,1,2019
3,2019-01-01 00:00:00+00:00,PL,5.8549999999999995,4.4399999999999995,0.8154999999999999,26.0075,0.275325,2019-01-01,13.624470140879515,8.916096721916308,1.3786209141209838,30.07857906728042,28.699958153159436,1,2019
4,2019-01-02 00:00:00+00:00,CZ,1.2727272727272727,2.881818181818182,2.6636363636363636,25.645454545454548,0.2779090909090909,2019-01-02,39.79541666666667,23.103429254054504,-7.85,61.28,69.13,1,2019
5,2019-01-02 00:00:00+00:00,DE,3.3787234042553194,1.323404255319149,3.2038297872340427,20.825531914893617,0.32561702127659575,2019-01-02,29.104166666666668,40.08391371118591,-48.93,62.11,111.03999999999999,1,2019
6,2019-01-02 00:00:00+00:00,FI,-4.339130434782608,1.6565217391304348,0.27797101449275363,22.831884057971017,0.38818840579710145,2019-01-02,44.31791666666667,15.982251291372553,4.35,55.58,51.23,1,2019
7,2019-01-02 00:00:00+00:00,PL,2.37,4.115,1.6797499999999999,26.9675,0.27805,2019-01-02,40.30075127767723,20.08055201690884,1.1660925425937994,55.57908947025416,54.41299692766036,1,2019
8,2019-01-03 00:00:00+00:00,CZ,-1.6090909090909091,2.518181818181818,2.1763636363636363,19.990909090909092,0.2799090909090909,2019-01-03,59.27041666666667,10.72261627676942,42.05,73.42,31.370000000000005,1,2019
9,2019-01-03 00:00:00+00:00,DE,1.7617021276595743,0.6404255319148936,2.6163829787234043,11.73404255319149,0.32678723404255317,2019-01-03,58.04208333333333,9.148248099887839,43.88,69.55,25.669999999999995,1,2019
10,2019-01-03 00:00:00+00:00,FI,-6.371014492753623,3.027536231884058,0.4442028985507246,15.095652173913042,0.38769565217391305,2019-01-03,57.19916666666666,6.917713819807351,48.31,69.55,21.239999999999995,1,2019
11,2019-01-03 00:00:00+00:00,PL,-0.6375,1.165,2.78425,21.1125,0.2805,2019-01-03,55.081540853325414,10.480453609373757,35.481093659104125,69.76614310645724,34.28504944735311,1,2019
