,country,year,month,total_generation_cv_mean_extreme,traiding_share_mean_extreme,renew_share_mean_extreme,solar_share_mean_extreme,wind_share_mean_extreme,water_share_mean_extreme,days_extreme,total_generation_cv_mean_normal,traiding_share_mean_normal,renew_share_mean_normal,solar_share_mean_normal,wind_share_mean_normal,water_share_mean_normal,days_normal,event_type,total_generation_cv_mean_delta,traiding_share_delta,renew_share,solar_share,wind_share,water_share
0,CZ,2019,1,6.892609869993101,4.130855349913222,26.48425400103252,10.583376355188435,1.7552916881775944,9.91223541559112,19,6.0114095249902215,3.603924183623226,26.48425400103252,10.583376355188435,1.755291688177594,9.91223541559112,12,low_soil,0.8812003450028794,0.5269311662899963,26.48425400103252,10.583376355188435,1.7552916881775944,9.91223541559112
1,CZ,2019,2,7.745619322463818,4.327560986695671,26.48425400103252,10.583376355188436,1.7552916881775942,9.91223541559112,15,6.621124185447136,3.301515172044768,26.48425400103252,10.583376355188433,1.7552916881775942,9.91223541559112,13,low_soil,1.124495137016682,1.026045814650903,26.48425400103252,10.583376355188436,1.7552916881775942,9.91223541559112
2,CZ,2019,3,8.173519563114144,4.8576938859300585,26.484254001032518,10.583376355188435,1.7552916881775942,9.91223541559112,10,7.921814113345394,4.72833558319773,26.48425400103252,10.583376355188435,1.7552916881775942,9.91223541559112,21,low_soil,0.25170544976875053,0.12935830273232884,26.484254001032518,10.583376355188435,1.7552916881775942,9.91223541559112
3,CZ,2019,4,7.891419604462708,5.942604820025105,26.48425400103252,10.583376355188433,1.7552916881775942,9.91223541559112,13,8.526644648805387,4.8515052490711055,26.48425400103252,10.583376355188435,1.7552916881775942,9.91223541559112,17,low_soil,-0.635225044342679,1.0910995709539995,26.48425400103252,10.583376355188433,1.7552916881775942,9.91223541559112
4,CZ,2019,6,9.113613391100499,5.109566199138372,26.48425400103252,10.583376355188435,1.755291688177594,9.91223541559112,6,8.188537208414404,5.647561036785206,26.48425400103252,10.583376355188435,1.755291688177594,9.91223541559112,24,low_soil,0.9250761826860945,-0.537994837646834,26.48425400103252,10.583376355188435,1.755291688177594,9.91223541559112
5,CZ,2019,7,8.033805794123486,5.867957789503178,26.48425400103252,10.583376355188435,1.7552916881775942,9.912235415591121,7,8.465205030444814,5.496301728657229,26.48425400103252,10.583376355188435,1.755291688177594,9.91223541559112,24,low_soil,-0.4313992363213277,0.3716560608459494,26.48425400103252,10.583376355188435,1.7552916881775942,9.912235415591121
6,CZ,2019,8,7.854266262639243,5.251584843014423,26.48425400103252,10.583376355188435,1.7552916881775942,9.912235415591121,14,7.313655981702787,4.522918897436294,26.48425400103252,10.583376355188435,1.7552916881775942,9.91223541559112,17,low_soil,0.5406102809364555,0.728665945578129,26.48425400103252,10.583376355188435,1.7552916881775942,9.912235415591121
7,CZ,2019,9,6.442427273234951,4.132258807035303,26.48425400103252,10.583376355188435,1.7552916881775942,9.91223541559112,8,6.748213655178804,3.901821810772037,26.48425400103252,10.583376355188435,1.7552916881775942,9.91223541559112,22,low_soil,-0.30578638194385377,0.23043699626326575,26.48425400103252,10.583376355188435,1.7552916881775942,9.91223541559112
8,CZ,2019,10,7.798620353317526,4.381200298452254,26.484254001032518,10.583376355188435,1.7552916881775942,9.91223541559112,10,7.428762160664457,4.577917087237618,26.48425400103252,10.583376355188435,1.7552916881775942,9.91223541559112,21,low_soil,0.3698581926530693,-0.19671678878536447,26.484254001032518,10.583376355188435,1.7552916881775942,9.91223541559112
9,CZ,2019,11,7.574960029547548,4.882449994883879,26.48425400103252,10.583376355188433,1.7552916881775942,9.91223541559112,13,8.792397158893609,4.623388420510239,26.48425400103252,10.583376355188435,1.7552916881775942,9.91223541559112,17,low_soil,-1.2174371293460604,0.2590615743736393,26.48425400103252,10.583376355188433,1.7552916881775942,9.91223541559112
10,CZ,2020,4,12.029208718581527,10.557073031115761,27.099841521394612,10.829371368198627,1.7960908610670894,10.142630744849445,3,10.549493287281884,9.70572547424908,27.099841521394612,10.829371368198625,1.7960908610670894,10.142630744849445,27,low_soil,1.4797154312996437,0.8513475568666813,27.099841521394612,10.829371368198627,1.7960908610670894,10.142630744849445
11,CZ,2020,5,6.394767308406017,8.349798509201571,27.099841521394616,10.829371368198625,1.7960908610670896,10.142630744849445,5,9.592286928458371,8.922529306361627,27.099841521394612,10.829371368198625,1.7960908610670894,10.142630744849445,26,low_soil,-3.197519620052354,-0.5727307971600553,27.099841521394616,10.829371368198625,1.7960908610670896,10.142630744849445
12,CZ,2021,10,7.41951336949071,4.414710925968936,27.4219163578613,11.011116993118051,1.7998941238750663,10.26998411858126,5,6.708525184255408,4.43896541957415,27.4219163578613,11.01111699311805,1.7998941238750663,10.26998411858126,26,low_soil,0.7109881852353022,-0.024254493605214478,27.4219163578613,11.011116993118051,1.7998941238750663,10.26998411858126
13,CZ,2021,11,7.856880412813894,5.059544970678998,27.421916357861296,11.011116993118051,1.799894123875066,10.26998411858126,3,6.973994319786133,3.7864740798616707,27.4219163578613,11.011116993118051,1.7998941238750663,10.26998411858126,27,low_soil,0.8828860930277607,1.2730708908173276,27.421916357861296,11.011116993118051,1.799894123875066,10.26998411858126
14,CZ,2021,12,7.825970026567113,4.07257052301592,27.4219163578613,11.011116993118051,1.7998941238750663,10.26998411858126,17,5.950085964568832,4.251372589036516,27.4219163578613,11.011116993118051,1.7998941238750663,10.26998411858126,14,low_soil,1.8758840619982804,-0.17880206602059623,27.4219163578613,11.011116993118051,1.7998941238750663,10.26998411858126
15,CZ,2022,3,7.1085909392999005,4.478630099569216,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164,9,6.914690443254796,4.577667938986379,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164,22,low_soil,0.19390049604510473,-0.09903783941716338,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164
16,CZ,2022,6,5.96163912449542,5.0118650501617985,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164,8,6.708381534988427,6.3044122986061675,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164,22,low_soil,-0.7467424104930069,-1.292547248444369,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164
17,CZ,2022,7,7.375588606407775,7.357988547756613,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164,11,5.775841410748052,7.904061367936895,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164,20,low_soil,1.599747195659723,-0.5460728201802816,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164
18,CZ,2022,8,6.077955311273781,7.714478014457069,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164,4,6.6836700125838675,6.318076749845861,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164,27,low_soil,-0.6057147013100863,1.3964012646112076,32.76283618581907,17.359413202933986,1.6625916870415651,9.486552567237164
19,CZ,2023,10,9.481226606718874,8.758683978011398,35.53062178588126,20.66386161757831,1.729780271154745,9.069658719027581,4,8.342858569368572,6.964454674581022,35.53062178588126,20.66386161757831,1.729780271154745,9.069658719027581,27,low_soil,1.1383680373503022,1.7942293034303756,35.53062178588126,20.66386161757831,1.729780271154745,9.069658719027581
20,CZ,2024,5,10.290621774239634,12.009854245463876,39.24458774758177,24.550898203592812,1.7503454629203132,8.935974205435283,14,9.738125488679488,10.243804807723203,39.24458774758177,24.550898203592812,1.7503454629203132,8.935974205435283,17,low_soil,0.5524962855601459,1.7660494377406728,39.24458774758177,24.550898203592812,1.7503454629203132,8.935974205435283
21,CZ,2024,9,8.777406404912833,7.007700918877933,39.24458774758177,24.550898203592812,1.7503454629203135,8.935974205435283,10,8.138152166928036,8.340481442191487,39.24458774758177,24.550898203592812,1.7503454629203135,8.935974205435283,20,low_soil,0.6392542379847974,-1.3327805233135548,39.24458774758177,24.550898203592812,1.7503454629203135,8.935974205435283
22,DE,2019,1,7.802198501464124,2.3553249011772626,62.359075919583546,23.154700800348845,28.292922227168255,6.9787512377699255,17,6.693390217477945,3.316001621157291,62.35907591958355,23.154700800348845,28.292922227168255,6.9787512377699255,14,low_soil,1.1088082839861793,-0.9606767199800283,62.359075919583546,23.154700800348845,28.292922227168255,6.9787512377699255
23,DE,2019,2,8.713888320754606,3.9677053820367263,62.359075919583546,23.154700800348845,28.292922227168255,6.9787512377699255,17,8.122709038220751,3.806746131380473,62.35907591958355,23.154700800348845,28.292922227168255,6.978751237769926,11,low_soil,0.5911792825338544,0.16095925065625316,62.359075919583546,23.154700800348845,28.292922227168255,6.9787512377699255
24,DE,2019,3,9.20370261113107,3.564776662244849,62.359075919583546,23.154700800348845,28.292922227168255,6.9787512377699255,9,11.031932823223194,4.674489189506136,62.35907591958355,23.154700800348845,28.292922227168255,6.978751237769926,22,low_soil,-1.8282302120921248,-1.1097125272612867,62.359075919583546,23.154700800348845,28.292922227168255,6.9787512377699255
25,DE,2019,7,12.796216709095228,5.946341132511566,62.35907591958355,23.154700800348845,28.29292222716826,6.978751237769925,3,16.994058389042802,6.632781467649576,62.35907591958355,23.154700800348845,28.292922227168255,6.9787512377699255,28,low_soil,-4.197841679947574,-0.6864403351380108,62.35907591958355,23.154700800348845,28.29292222716826,6.978751237769925
26,DE,2019,9,16.96539230232518,6.925286253228973,62.35907591958355,23.154700800348845,28.29292222716826,6.978751237769925,3,13.767890065436719,5.771134964393527,62.359075919583546,23.154700800348845,28.29292222716825,6.9787512377699255,27,low_soil,3.1975022368884627,1.154151288835446,62.35907591958355,23.154700800348845,28.29292222716826,6.978751237769925
27,DE,2019,10,11.515090471987666,6.114311879553094,62.35907591958355,23.154700800348845,28.292922227168255,6.9787512377699255,7,10.223245371842802,4.103302577182826,62.35907591958355,23.154700800348845,28.29292222716826,6.978751237769925,24,low_soil,1.2918451001448634,2.011009302370268,62.35907591958355,23.154700800348845,28.292922227168255,6.9787512377699255
28,DE,2020,4,19.042118195213906,7.3360199514362225,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018,14,18.34419537970679,7.42184420121731,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018,16,low_soil,0.6979228155071162,-0.08582424978108705,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018
29,DE,2020,5,20.611160844165063,7.238688703121387,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018,19,18.540890055754605,6.586923358137027,64.69207289702848,25.191668911033315,28.691983122362874,6.866415297603017,12,low_soil,2.0702707884104576,0.6517653449843595,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018
30,DE,2020,6,19.109430004867537,7.8503551814669175,64.69207289702848,25.191668911033315,28.691983122362874,6.866415297603017,12,16.876433894350235,6.3938411520498155,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018,18,low_soil,2.232996110517302,1.456514029417102,64.69207289702848,25.191668911033315,28.691983122362874,6.866415297603017
31,DE,2020,10,12.34631170438202,4.763981952903439,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018,11,10.039929152641914,3.4503821458315818,64.69207289702848,25.19166891103331,28.691983122362878,6.866415297603018,20,low_soil,2.3063825517401053,1.3135998070718573,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018
32,DE,2020,12,7.7372137401030905,2.6275074126465925,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018,11,8.474097679606672,4.213676689231461,64.69207289702848,25.19166891103331,28.691983122362878,6.866415297603018,20,low_soil,-0.7368839395035813,-1.5861692765848683,64.69207289702848,25.19166891103331,28.691983122362874,6.866415297603018
33,DE,2022,3,13.36784898310602,5.38177818569233,68.48119950902922,30.865376130155393,27.872219236107217,6.182060312392199,9,11.322902696197644,5.159815283444417,68.48119950902922,30.8653761301554,27.872219236107217,6.182060312392199,22,low_soil,2.0449462869083757,0.22196290224791237,68.48119950902922,30.865376130155393,27.872219236107217,6.182060312392199
34,DE,2022,6,15.744679138928705,4.812979944931322,68.48119950902922,30.865376130155397,27.872219236107217,6.182060312392199,4,19.69503685243549,8.424388704785919,68.48119950902922,30.865376130155393,27.872219236107217,6.182060312392199,26,low_soil,-3.9503577135067847,-3.611408759854597,68.48119950902922,30.865376130155397,27.872219236107217,6.182060312392199
35,DE,2022,7,17.87642933358752,6.26937955861642,68.48119950902922,30.865376130155397,27.872219236107217,6.1820603123922,14,18.21518337095191,6.289669356723812,68.48119950902922,30.865376130155397,27.872219236107217,6.182060312392199,17,low_soil,-0.3387540373643887,-0.02028979810739262,68.48119950902922,30.865376130155397,27.872219236107217,6.1820603123922
36,DE,2022,8,16.754258409188953,7.38072076632348,68.48119950902922,30.865376130155397,27.872219236107213,6.182060312392199,19,19.848550088107054,8.207409528750018,68.48119950902922,30.865376130155397,27.872219236107217,6.182060312392199,12,low_soil,-3.0942916789181005,-0.8266887624265378,68.48119950902922,30.865376130155397,27.872219236107213,6.182060312392199
37,DE,2022,9,13.676840639724395,5.395320736982908,68.48119950902922,30.8653761301554,27.872219236107217,6.182060312392199,15,13.007948907048014,4.881122747685739,68.48119950902922,30.8653761301554,27.872219236107217,6.182060312392199,15,low_soil,0.6688917326763804,0.5141979892971698,68.48119950902922,30.8653761301554,27.872219236107217,6.182060312392199
38,DE,2022,11,10.294620493976169,4.633780254093611,68.48119950902922,30.865376130155397,27.872219236107217,6.1820603123922,7,8.972725902814142,3.740376594730941,68.48119950902922,30.865376130155397,27.872219236107213,6.182060312392199,23,low_soil,1.3218945911620263,0.89340365936267,68.48119950902922,30.865376130155397,27.872219236107217,6.1820603123922
39,DE,2024,11,11.356439930787879,4.65822667508996,72.61189437364733,37.26447383887763,26.936932576422837,5.2954924182184016,11,11.660925994420372,5.04048417169008,72.61189437364733,37.26447383887763,26.936932576422834,5.2954924182184016,19,low_soil,-0.30448606363249375,-0.3822574966001202,72.61189437364733,37.26447383887763,26.936932576422837,5.2954924182184016
40,DE,2024,12,12.930430929526407,4.320212520153861,72.61189437364733,37.26447383887763,26.936932576422834,5.2954924182184016,8,10.219590792185121,4.821311243594931,72.61189437364733,37.26447383887763,26.936932576422834,5.2954924182184016,23,low_soil,2.710840137341286,-0.5010987234410695,72.61189437364733,37.26447383887763,26.936932576422834,5.2954924182184016
41,FI,2019,9,10.002463794724546,7.875516466041122,38.481012658227854,0.08438818565400844,20.42194092827004,0.0,15,10.405524974177899,4.931151458954547,38.481012658227854,0.08438818565400844,20.42194092827004,0.0,15,low_soil,-0.40306117945335274,2.9443650070865752,38.481012658227854,0.08438818565400844,20.42194092827004,0.0
42,FI,2019,10,9.10592692323875,4.936938130719104,38.481012658227854,0.08438818565400844,20.42194092827004,0.0,8,9.041762273784062,6.138886672542798,38.481012658227854,0.08438818565400844,20.42194092827004,0.0,23,low_soil,0.06416464945468725,-1.2019485418236941,38.481012658227854,0.08438818565400844,20.42194092827004,0.0
43,FI,2020,5,4.750695084215661,4.491080155918616,42.73301737756714,0.07898894154818326,25.118483412322274,0.0,17,3.3237912052360414,5.879999889138914,42.73301737756714,0.07898894154818326,25.118483412322274,0.0,14,low_soil,1.4269038789796191,-1.3889197332202983,42.73301737756714,0.07898894154818326,25.118483412322274,0.0
44,FI,2020,6,6.457321775178993,5.42636407965042,42.73301737756714,0.07898894154818326,25.118483412322274,0.0,9,3.803940724403642,7.948007410576066,42.73301737756714,0.07898894154818326,25.118483412322274,0.0,21,low_soil,2.6533810507753515,-2.521643330925646,42.73301737756714,0.07898894154818326,25.118483412322274,0.0
45,FI,2021,7,5.755921918273113,5.253251010075076,51.43256464011182,0.13976240391334735,35.77917540181692,0.0,12,6.325147350075005,5.321483236593544,51.43256464011182,0.13976240391334735,35.77917540181692,0.0,19,low_soil,-0.5692254318018914,-0.06823222651846717,51.43256464011182,0.13976240391334735,35.77917540181692,0.0
46,FI,2021,8,6.479034775645238,9.27513734929453,51.43256464011182,0.13976240391334735,35.77917540181692,0.0,16,7.641522410529384,6.1843816321276845,51.43256464011181,0.13976240391334735,35.77917540181692,0.0,15,low_soil,-1.1624876348841457,3.0907557171668456,51.43256464011182,0.13976240391334735,35.77917540181692,0.0
47,FI,2021,10,6.614098634521906,4.984280044083844,51.43256464011182,0.13976240391334735,35.77917540181692,0.0,5,6.762403028169913,4.15447733971783,51.43256464011183,0.13976240391334735,35.77917540181692,0.0,26,low_soil,-0.14830439364800618,0.8298027043660143,51.43256464011182,0.13976240391334735,35.77917540181692,0.0
48,FI,2022,4,6.000371853068068,4.91422268238173,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,11,4.932591409523153,5.5095171781357,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,19,low_soil,1.0677804435449154,-0.5952944957539694,50.87310826542492,0.17462165308498254,38.53317811408615,0.0
49,FI,2022,6,5.716818797994922,6.24739021724726,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,3,6.514167048395505,5.550928012009819,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,27,low_soil,-0.7973482504005833,0.6964622052374416,50.87310826542492,0.17462165308498254,38.53317811408615,0.0
50,FI,2022,7,6.607885265866279,4.7248101770361135,50.873108265424925,0.17462165308498254,38.53317811408615,0.0,7,6.193704122621722,4.439010490921278,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,24,low_soil,0.4141811432445568,0.2857996861148351,50.873108265424925,0.17462165308498254,38.53317811408615,0.0
51,FI,2022,10,6.009327536537591,5.193381405934637,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,6,7.595699199949686,5.495911780292002,50.87310826542492,0.17462165308498254,38.53317811408615,0.0,25,low_soil,-1.5863716634120948,-0.3025303743573655,50.87310826542492,0.17462165308498254,38.53317811408615,0.0
52,FI,2023,6,6.896597939088323,6.530194787156533,57.352143244709715,0.2712967986977754,44.60119370591428,0.0,6,5.9650974560766175,7.732448342062753,57.352143244709715,0.2712967986977754,44.60119370591428,0.0,24,low_soil,0.931500483011706,-1.2022535549062203,57.352143244709715,0.2712967986977754,44.60119370591428,0.0
53,FI,2023,11,8.316468163002066,6.521568852049796,57.352143244709715,0.2712967986977754,44.60119370591428,0.0,3,6.204548651746398,4.7632791566197135,57.35214324470972,0.2712967986977754,44.60119370591428,0.0,27,low_soil,2.1119195112556675,1.7582896954300828,57.352143244709715,0.2712967986977754,44.60119370591428,0.0
54,FI,2023,12,7.859013156051263,4.917638378546948,57.352143244709715,0.2712967986977754,44.60119370591428,0.0,19,4.963458536135379,2.7164705198171784,57.352143244709715,0.2712967986977754,44.60119370591428,0.0,12,low_soil,2.8955546199158837,2.2011678587297694,57.352143244709715,0.2712967986977754,44.60119370591428,0.0
55,FI,2024,1,7.270032782458546,5.764575662699441,63.039309683604976,7.238734419942474,44.72674976030681,0.0,19,5.761853914704691,4.24101154745649,63.03930968360498,7.238734419942474,44.72674976030681,0.0,12,low_soil,1.5081788677538546,1.5235641152429507,63.039309683604976,7.238734419942474,44.72674976030681,0.0
56,FI,2024,2,7.933459417543541,6.583372245303873,63.03930968360498,7.238734419942473,44.72674976030681,0.0,18,6.842037041007776,4.083978402769727,63.03930968360498,7.238734419942474,44.72674976030681,0.0,11,low_soil,1.091422376535765,2.499393842534146,63.03930968360498,7.238734419942473,44.72674976030681,0.0
57,FI,2024,3,8.346489754403871,6.259307517032852,63.039309683604976,7.238734419942474,44.72674976030681,0.0,19,7.963383434354637,8.417437538441115,63.03930968360498,7.238734419942474,44.72674976030681,0.0,12,low_soil,0.38310632004923395,-2.1581300214082635,63.039309683604976,7.238734419942474,44.72674976030681,0.0
